metName,metID,pseudoRxn,c
dATP,datp_c,DNA,-0.03239
dCTP,dctp_c,DNA,-0.02210 
dGTP,dgtp_c,DNA,-0.02210
dTTP,dttp_c,DNA,-0.03239
H+,h_c,DNA,0.10898
Diphosphate,ppi_c,DNA,0.10898
DNA pseudometabolite,dna_c,DNA,1
ATP,atp_c,RNA,-0.06627
CTP,ctp_c,RNA,-0.19219
GTP,gtp_c,RNA,-0.16887
UTP,utp_c,RNA,-0.06359
H+,h_c,RNA,0.49091
Diphosphate,ppi_c,RNA,0.49091
RNA pseudometabolite,rna_c,RNA,1
L-Alanine,ala__L_c,protein,-0.55133
L-Arginine,arg__L_c,protein,-0.31652
L-Asparagine,asn__L_c,protein,-0.05936
L-Aspartate,asp__L_c,protein,-0.22446
L-Cysteine,cys__L_c,protein,-0.02859
L-Glutamine,gln__L_c,protein,-0.10212
L-Glutamate,glu__L_c,protein,-0.23500
Glycine,gly_c,protein,-0.37818
L-Histidine,his__L_c,protein,-0.08875
L-Isoleucine,ile__L_c,protein,-0.10611
L-Leucine,leu__L_c,protein,-0.41061
L-Lysine,lys__L_c,protein,-0.07674
L-Methionine,met__L_c,protein,-0.06192
L-Phenylalanine,phe__L_c,protein,-0.10067
L-Proline,pro__L_c,protein,-0.25219
L-Serine,ser__L_c,protein,-0.18223
L-Threonine,thr__L_c,protein,-0.23713
L-Tryptophan,trp__L_c,protein,-0.05726
L-Tyrosine,tyr__L_c,protein,-0.07561
L-Valine,val__L_c,protein,-0.32285
H2O,h2o_c,protein,3.86763
protein pseudometabolite,protein_c,protein,1
